,state,date,Region,MONTH_NAME
69,WYOMING,2020-05-10,NORTHERN ROCKIES AND PLAINS,May
70,MONTANA,2021-05-01,NORTHERN ROCKIES AND PLAINS,May
71,NORTH DAKOTA,2023-05-29,NORTHERN ROCKIES AND PLAINS,May
72,WYOMING,2021-05-25,NORTHERN ROCKIES AND PLAINS,May
73,WYOMING,2020-05-02,NORTHERN ROCKIES AND PLAINS,May
74,NEBRASKA,2022-06-28,NORTHERN ROCKIES AND PLAINS,June
75,NORTH DAKOTA,2021-06-15,NORTHERN ROCKIES AND PLAINS,June
76,MONTANA,2022-06-22,NORTHERN ROCKIES AND PLAINS,June
77,MONTANA,2022-06-28,NORTHERN ROCKIES AND PLAINS,June
78,MONTANA,2022-06-01,NORTHERN ROCKIES AND PLAINS,June
79,NORTH DAKOTA,2021-06-23,NORTHERN ROCKIES AND PLAINS,June
80,NEBRASKA,2019-06-10,NORTHERN ROCKIES AND PLAINS,June
81,SOUTH DAKOTA,2022-06-02,NORTHERN ROCKIES AND PLAINS,June
82,MONTANA,2020-06-11,NORTHERN ROCKIES AND PLAINS,June
83,NORTH DAKOTA,2022-06-29,NORTHERN ROCKIES AND PLAINS,June
84,NORTH DAKOTA,2020-06-12,NORTHERN ROCKIES AND PLAINS,June
85,NEBRASKA,2020-06-30,NORTHERN ROCKIES AND PLAINS,June
86,WYOMING,2020-06-30,NORTHERN ROCKIES AND PLAINS,June
87,NEBRASKA,2021-06-05,NORTHERN ROCKIES AND PLAINS,June
88,NEBRASKA,2021-06-22,NORTHERN ROCKIES AND PLAINS,June
89,NORTH DAKOTA,2019-06-28,NORTHERN ROCKIES AND PLAINS,June
90,NEBRASKA,2023-06-20,NORTHERN ROCKIES AND PLAINS,June
91,NORTH DAKOTA,2021-06-04,NORTHERN ROCKIES AND PLAINS,June
92,NORTH DAKOTA,2020-06-30,NORTHERN ROCKIES AND PLAINS,June
93,WYOMING,2020-06-14,NORTHERN ROCKIES AND PLAINS,June
94,MONTANA,2021-07-05,NORTHERN ROCKIES AND PLAINS,July
95,WYOMING,2021-07-19,NORTHERN ROCKIES AND PLAINS,July
96,MONTANA,2021-07-04,NORTHERN ROCKIES AND PLAINS,July
97,WYOMING,2020-07-27,NORTHERN ROCKIES AND PLAINS,July
98,SOUTH DAKOTA,2019-07-02,NORTHERN ROCKIES AND PLAINS,July
99,NORTH DAKOTA,2023-07-11,NORTHERN ROCKIES AND PLAINS,July
100,NEBRASKA,2020-07-27,NORTHERN ROCKIES AND PLAINS,July
101,MONTANA,2022-07-02,NORTHERN ROCKIES AND PLAINS,July
102,NORTH DAKOTA,2019-07-07,NORTHERN ROCKIES AND PLAINS,July
103,NORTH DAKOTA,2021-07-16,NORTHERN ROCKIES AND PLAINS,July
104,WYOMING,2021-07-05,NORTHERN ROCKIES AND PLAINS,July
105,WYOMING,2020-07-03,NORTHERN ROCKIES AND PLAINS,July
106,SOUTH DAKOTA,2020-07-03,NORTHERN ROCKIES AND PLAINS,July
107,WYOMING,2019-07-07,NORTHERN ROCKIES AND PLAINS,July
108,NORTH DAKOTA,2020-07-31,NORTHERN ROCKIES AND PLAINS,July
109,NEBRASKA,2023-07-30,NORTHERN ROCKIES AND PLAINS,July
110,NEBRASKA,2019-07-02,NORTHERN ROCKIES AND PLAINS,July
111,NEBRASKA,2023-08-20,NORTHERN ROCKIES AND PLAINS,August
112,NORTH DAKOTA,2022-08-12,NORTHERN ROCKIES AND PLAINS,August
113,MONTANA,2021-08-26,NORTHERN ROCKIES AND PLAINS,August
114,WYOMING,2019-08-25,NORTHERN ROCKIES AND PLAINS,August
115,WYOMING,2023-08-19,NORTHERN ROCKIES AND PLAINS,August
116,NORTH DAKOTA,2023-08-31,NORTHERN ROCKIES AND PLAINS,August
117,NORTH DAKOTA,2019-08-16,NORTHERN ROCKIES AND PLAINS,August
118,NEBRASKA,2022-08-17,NORTHERN ROCKIES AND PLAINS,August
119,MONTANA,2023-08-20,NORTHERN ROCKIES AND PLAINS,August
120,SOUTH DAKOTA,2019-08-27,NORTHERN ROCKIES AND PLAINS,August
121,MONTANA,2021-08-15,NORTHERN ROCKIES AND PLAINS,August
122,NORTH DAKOTA,2019-08-14,NORTHERN ROCKIES AND PLAINS,August
123,WYOMING,2022-09-12,NORTHERN ROCKIES AND PLAINS,September
124,NORTH DAKOTA,2021-09-24,NORTHERN ROCKIES AND PLAINS,September
125,WYOMING,2020-10-05,NORTHERN ROCKIES AND PLAINS,October
126,WYOMING,2019-10-06,NORTHERN ROCKIES AND PLAINS,October
127,IDAHO,2023-03-18,NORTHWEST,March
128,OREGON,2023-05-29,NORTHWEST,May
129,WASHINGTON,2023-05-03,NORTHWEST,May
130,IDAHO,2021-05-21,NORTHWEST,May
131,OREGON,2020-05-10,NORTHWEST,May
132,IDAHO,2022-06-10,NORTHWEST,June
133,IDAHO,2021-06-15,NORTHWEST,June
134,IDAHO,2022-06-22,NORTHWEST,June
135,IDAHO,2023-07-05,NORTHWEST,July
136,IDAHO,2022-09-03,NORTHWEST,September
137,WASHINGTON,2021-10-02,NORTHWEST,October
138,OREGON,2022-10-07,NORTHWEST,October
139,OREGON,2019-11-06,NORTHWEST,November
140,WEST VIRGINIA,2020-01-24,OHIO VALLEY,January
141,TENNESSEE,2020-01-01,OHIO VALLEY,January
142,OHIO,2023-01-28,OHIO VALLEY,January
143,ILLINOIS,2019-01-13,OHIO VALLEY,January
144,ILLINOIS,2021-01-26,OHIO VALLEY,January
145,KENTUCKY,2019-01-26,OHIO VALLEY,January
146,WEST VIRGINIA,2020-02-08,OHIO VALLEY,February
147,KENTUCKY,2021-02-26,OHIO VALLEY,February
148,MISSOURI,2022-02-28,OHIO VALLEY,February
149,OHIO,2023-02-22,OHIO VALLEY,February
150,KENTUCKY,2023-02-06,OHIO VALLEY,February
151,WEST VIRGINIA,2023-03-10,OHIO VALLEY,March
152,INDIANA,2023-03-09,OHIO VALLEY,March
153,MISSOURI,2021-03-06,OHIO VALLEY,March
154,TENNESSEE,2020-03-15,OHIO VALLEY,March
155,ILLINOIS,2019-03-16,OHIO VALLEY,March
156,ILLINOIS,2019-03-06,OHIO VALLEY,March
157,TENNESSEE,2020-03-22,OHIO VALLEY,March
158,MISSOURI,2022-03-20,OHIO VALLEY,March
159,ILLINOIS,2021-03-09,OHIO VALLEY,March
160,ILLINOIS,2022-03-26,OHIO VALLEY,March
161,WEST VIRGINIA,2021-03-11,OHIO VALLEY,March
162,WEST VIRGINIA,2020-03-09,OHIO VALLEY,March
163,TENNESSEE,2020-03-06,OHIO VALLEY,March
164,WEST VIRGINIA,2022-03-15,OHIO VALLEY,March
165,INDIANA,2023-03-18,OHIO VALLEY,March
166,INDIANA,2020-03-14,OHIO VALLEY,March
167,WEST VIRGINIA,2019-03-20,OHIO VALLEY,March
168,ILLINOIS,2021-03-07,OHIO VALLEY,March
169,TENNESSEE,2023-04-23,OHIO VALLEY,April
170,ILLINOIS,2019-04-01,OHIO VALLEY,April
171,MISSOURI,2023-04-13,OHIO VALLEY,April
172,OHIO,2020-04-10,OHIO VALLEY,April
173,INDIANA,2020-04-26,OHIO VALLEY,April
174,ILLINOIS,2020-04-03,OHIO VALLEY,April
175,INDIANA,2019-04-02,OHIO VALLEY,April
176,TENNESSEE,2022-04-27,OHIO VALLEY,April
177,WEST VIRGINIA,2021-04-14,OHIO VALLEY,April
178,INDIANA,2019-04-20,OHIO VALLEY,April
179,OHIO,2020-04-27,OHIO VALLEY,April
180,INDIANA,2021-04-22,OHIO VALLEY,April
181,OHIO,2021-04-20,OHIO VALLEY,April
182,ILLINOIS,2023-04-24,OHIO VALLEY,April
183,OHIO,2019-04-02,OHIO VALLEY,April
184,ILLINOIS,2019-04-21,OHIO VALLEY,April
185,OHIO,2022-05-28,OHIO VALLEY,May
186,OHIO,2022-05-10,OHIO VALLEY,May
187,KENTUCKY,2022-05-10,OHIO VALLEY,May
188,MISSOURI,2020-05-11,OHIO VALLEY,May
189,WEST VIRGINIA,2019-05-10,OHIO VALLEY,May
190,KENTUCKY,2020-05-09,OHIO VALLEY,May
191,WEST VIRGINIA,2022-05-14,OHIO VALLEY,May
192,INDIANA,2023-05-03,OHIO VALLEY,May
193,OHIO,2022-05-10,OHIO VALLEY,May
194,ILLINOIS,2023-05-14,OHIO VALLEY,May
195,ILLINOIS,2019-05-16,OHIO VALLEY,May
196,KENTUCKY,2023-05-21,OHIO VALLEY,May
197,WEST VIRGINIA,2023-05-21,OHIO VALLEY,May
198,TENNESSEE,2022-05-28,OHIO VALLEY,May
199,ILLINOIS,2020-05-11,OHIO VALLEY,May
200,INDIANA,2023-05-29,OHIO VALLEY,May
201,TENNESSEE,2020-05-11,OHIO VALLEY,May
202,WEST VIRGINIA,2022-05-28,OHIO VALLEY,May
203,WEST VIRGINIA,2021-05-01,OHIO VALLEY,May
204,INDIANA,2023-05-21,OHIO VALLEY,May
205,INDIANA,2021-05-21,OHIO VALLEY,May
206,WEST VIRGINIA,2022-05-29,OHIO VALLEY,May
207,MISSOURI,2023-05-03,OHIO VALLEY,May
208,OHIO,2022-05-14,OHIO VALLEY,May
209,KENTUCKY,2020-05-31,OHIO VALLEY,May
210,MISSOURI,2019-05-10,OHIO VALLEY,May
211,KENTUCKY,2023-05-14,OHIO VALLEY,May
212,KENTUCKY,2022-05-22,OHIO VALLEY,May
213,WEST VIRGINIA,2022-06-28,OHIO VALLEY,June
214,ILLINOIS,2021-06-30,OHIO VALLEY,June
215,TENNESSEE,2021-06-15,OHIO VALLEY,June
216,MISSOURI,2019-06-28,OHIO VALLEY,June
217,TENNESSEE,2020-06-14,OHIO VALLEY,June
218,OHIO,2020-06-30,OHIO VALLEY,June
219,WEST VIRGINIA,2022-06-10,OHIO VALLEY,June
220,INDIANA,2021-06-22,OHIO VALLEY,June
221,INDIANA,2023-06-04,OHIO VALLEY,June
222,ILLINOIS,2023-06-04,OHIO VALLEY,June
223,MISSOURI,2020-06-16,OHIO VALLEY,June
224,TENNESSEE,2020-06-14,OHIO VALLEY,June
225,INDIANA,2021-06-30,OHIO VALLEY,June
226,KENTUCKY,2019-06-10,OHIO VALLEY,June
227,OHIO,2022-06-02,OHIO VALLEY,June
228,WEST VIRGINIA,2023-06-08,OHIO VALLEY,June
229,TENNESSEE,2021-06-30,OHIO VALLEY,June
230,TENNESSEE,2020-06-12,OHIO VALLEY,June
231,WEST VIRGINIA,2020-06-16,OHIO VALLEY,June
232,TENNESSEE,2022-06-22,OHIO VALLEY,June
233,WEST VIRGINIA,2022-06-10,OHIO VALLEY,June
234,ILLINOIS,2023-06-20,OHIO VALLEY,June
235,MISSOURI,2022-06-18,OHIO VALLEY,June
236,ILLINOIS,2023-07-11,OHIO VALLEY,July
237,OHIO,2022-07-02,OHIO VALLEY,July
238,MISSOURI,2021-07-16,OHIO VALLEY,July
239,INDIANA,2019-07-31,OHIO VALLEY,July
240,INDIANA,2021-07-16,OHIO VALLEY,July
241,INDIANA,2023-07-05,OHIO VALLEY,July
242,KENTUCKY,2023-07-05,OHIO VALLEY,July
243,OHIO,2020-07-31,OHIO VALLEY,July
244,WEST VIRGINIA,2022-07-04,OHIO VALLEY,July
245,KENTUCKY,2021-07-25,OHIO VALLEY,July
246,KENTUCKY,2021-07-30,OHIO VALLEY,July
247,OHIO,2022-07-02,OHIO VALLEY,July
248,MISSOURI,2021-07-04,OHIO VALLEY,July
249,ILLINOIS,2023-08-23,OHIO VALLEY,August
250,TENNESSEE,2022-08-07,OHIO VALLEY,August
251,OHIO,2020-08-20,OHIO VALLEY,August
252,WEST VIRGINIA,2022-08-10,OHIO VALLEY,August
253,KENTUCKY,2021-08-26,OHIO VALLEY,August
254,TENNESSEE,2019-08-30,OHIO VALLEY,August
255,INDIANA,2021-08-16,OHIO VALLEY,August
256,INDIANA,2019-08-19,OHIO VALLEY,August
257,INDIANA,2022-08-17,OHIO VALLEY,August
258,WEST VIRGINIA,2019-08-16,OHIO VALLEY,August
259,TENNESSEE,2019-08-16,OHIO VALLEY,August
260,WEST VIRGINIA,2019-08-14,OHIO VALLEY,August
261,WEST VIRGINIA,2019-08-19,OHIO VALLEY,August
262,TENNESSEE,2022-08-03,OHIO VALLEY,August
263,KENTUCKY,2022-08-07,OHIO VALLEY,August
264,KENTUCKY,2022-09-09,OHIO VALLEY,September
265,OHIO,2020-09-20,OHIO VALLEY,September
266,OHIO,2021-09-21,OHIO VALLEY,September
267,WEST VIRGINIA,2023-09-15,OHIO VALLEY,September
268,ILLINOIS,2022-10-19,OHIO VALLEY,October
269,OHIO,2021-10-29,OHIO VALLEY,October
270,KENTUCKY,2022-10-18,OHIO VALLEY,October
271,MISSOURI,2023-10-08,OHIO VALLEY,October
272,WEST VIRGINIA,2023-10-15,OHIO VALLEY,October
273,WEST VIRGINIA,2020-10-21,OHIO VALLEY,October
274,KENTUCKY,2021-10-08,OHIO VALLEY,October
275,TENNESSEE,2021-11-22,OHIO VALLEY,November
276,WEST VIRGINIA,2019-12-04,OHIO VALLEY,December
277,MISSOURI,2021-12-28,OHIO VALLEY,December
278,WEST VIRGINIA,2019-12-12,OHIO VALLEY,December
279,KENTUCKY,2023-12-27,OHIO VALLEY,December
280,KENTUCKY,2019-12-22,OHIO VALLEY,December
281,KENTUCKY,2021-12-17,OHIO VALLEY,December
282,OKLAHOMA,2020-01-22,SOUTH,January
283,ARKANSAS,2022-01-22,SOUTH,January
284,OKLAHOMA,2019-01-16,SOUTH,January
285,KANSAS,2022-01-19,SOUTH,January
286,TEXAS,2020-01-18,SOUTH,January
287,OKLAHOMA,2019-01-15,SOUTH,January
288,TEXAS,2023-01-27,SOUTH,January
289,ARKANSAS,2022-01-11,SOUTH,January
290,MISSISSIPPI,2020-01-05,SOUTH,January
291,ARKANSAS,2020-02-20,SOUTH,February
292,KANSAS,2019-02-05,SOUTH,February
293,ARKANSAS,2020-02-15,SOUTH,February
294,MISSISSIPPI,2021-02-03,SOUTH,February
295,LOUISIANA,2022-02-23,SOUTH,February
296,MISSISSIPPI,2021-03-05,SOUTH,March
297,ARKANSAS,2020-03-07,SOUTH,March
298,KANSAS,2019-03-28,SOUTH,March
299,TEXAS,2019-03-15,SOUTH,March
300,ARKANSAS,2019-03-07,SOUTH,March
301,OKLAHOMA,2019-03-27,SOUTH,March
302,ARKANSAS,2019-03-27,SOUTH,March
303,KANSAS,2019-03-18,SOUTH,March
304,KANSAS,2022-03-25,SOUTH,March
305,KANSAS,2023-03-07,SOUTH,March
306,TEXAS,2020-03-05,SOUTH,March
307,ARKANSAS,2023-03-13,SOUTH,March
308,MISSISSIPPI,2022-03-19,SOUTH,March
309,TEXAS,2022-03-02,SOUTH,March
310,ARKANSAS,2020-03-20,SOUTH,March
311,KANSAS,2019-03-16,SOUTH,March
312,ARKANSAS,2023-03-10,SOUTH,March
313,OKLAHOMA,2023-03-15,SOUTH,March
314,MISSISSIPPI,2021-03-09,SOUTH,March
315,KANSAS,2022-03-02,SOUTH,March
316,MISSISSIPPI,2019-03-11,SOUTH,March
317,TEXAS,2022-03-19,SOUTH,March
318,LOUISIANA,2021-03-10,SOUTH,March
319,LOUISIANA,2020-03-09,SOUTH,March
320,ARKANSAS,2019-03-04,SOUTH,March
321,MISSISSIPPI,2022-04-19,SOUTH,April
322,TEXAS,2021-04-16,SOUTH,April
323,TEXAS,2022-04-15,SOUTH,April
324,MISSISSIPPI,2023-04-06,SOUTH,April
325,MISSISSIPPI,2021-04-16,SOUTH,April
326,KANSAS,2021-04-30,SOUTH,April
327,LOUISIANA,2023-04-08,SOUTH,April
328,OKLAHOMA,2021-04-14,SOUTH,April
329,TEXAS,2021-04-20,SOUTH,April
330,MISSISSIPPI,2019-04-23,SOUTH,April
331,TEXAS,2021-04-06,SOUTH,April
332,KANSAS,2020-04-09,SOUTH,April
333,KANSAS,2020-04-10,SOUTH,April
334,TEXAS,2019-04-05,SOUTH,April
335,OKLAHOMA,2020-04-01,SOUTH,April
336,OKLAHOMA,2019-04-05,SOUTH,April
337,TEXAS,2021-04-20,SOUTH,April
338,OKLAHOMA,2023-04-23,SOUTH,April
339,MISSISSIPPI,2020-04-18,SOUTH,April
340,LOUISIANA,2020-04-18,SOUTH,April
341,LOUISIANA,2021-04-17,SOUTH,April
342,ARKANSAS,2020-04-14,SOUTH,April
343,KANSAS,2020-04-05,SOUTH,April
344,TEXAS,2019-04-03,SOUTH,April
345,KANSAS,2019-04-10,SOUTH,April
346,TEXAS,2021-04-17,SOUTH,April
347,OKLAHOMA,2020-04-06,SOUTH,April
348,LOUISIANA,2020-04-14,SOUTH,April
349,TEXAS,2022-04-03,SOUTH,April
350,LOUISIANA,2021-04-17,SOUTH,April
351,OKLAHOMA,2022-04-03,SOUTH,April
352,MISSISSIPPI,2021-04-05,SOUTH,April
353,TEXAS,2023-05-20,SOUTH,May
354,TEXAS,2022-05-29,SOUTH,May
355,MISSISSIPPI,2023-05-03,SOUTH,May
356,KANSAS,2020-05-09,SOUTH,May
357,MISSISSIPPI,2019-05-16,SOUTH,May
358,OKLAHOMA,2020-05-06,SOUTH,May
359,ARKANSAS,2023-05-20,SOUTH,May
360,OKLAHOMA,2020-05-31,SOUTH,May
361,OKLAHOMA,2022-05-14,SOUTH,May
362,MISSISSIPPI,2022-05-28,SOUTH,May
363,TEXAS,2023-05-20,SOUTH,May
364,OKLAHOMA,2023-05-21,SOUTH,May
365,LOUISIANA,2023-05-29,SOUTH,May
366,KANSAS,2021-05-21,SOUTH,May
367,ARKANSAS,2019-05-15,SOUTH,May
368,ARKANSAS,2022-05-29,SOUTH,May
369,OKLAHOMA,2019-05-14,SOUTH,May
370,MISSISSIPPI,2023-05-17,SOUTH,May
371,TEXAS,2023-05-21,SOUTH,May
372,TEXAS,2019-05-14,SOUTH,May
373,TEXAS,2020-05-07,SOUTH,May
374,OKLAHOMA,2022-05-10,SOUTH,May
375,LOUISIANA,2023-05-03,SOUTH,May
376,OKLAHOMA,2021-05-21,SOUTH,May
377,ARKANSAS,2020-05-09,SOUTH,May
378,TEXAS,2022-05-14,SOUTH,May
379,LOUISIANA,2020-05-06,SOUTH,May
380,TEXAS,2019-05-16,SOUTH,May
381,LOUISIANA,2020-05-31,SOUTH,May
382,KANSAS,2023-05-21,SOUTH,May
383,ARKANSAS,2020-05-07,SOUTH,May
384,TEXAS,2023-05-29,SOUTH,May
385,MISSISSIPPI,2020-05-02,SOUTH,May
386,TEXAS,2019-05-10,SOUTH,May
387,OKLAHOMA,2019-05-14,SOUTH,May
388,LOUISIANA,2020-05-31,SOUTH,May
389,ARKANSAS,2020-05-31,SOUTH,May
390,KANSAS,2020-05-01,SOUTH,May
391,MISSISSIPPI,2023-05-01,SOUTH,May
392,ARKANSAS,2023-05-14,SOUTH,May
393,ARKANSAS,2022-05-22,SOUTH,May
394,LOUISIANA,2019-05-15,SOUTH,May
395,LOUISIANA,2020-05-01,SOUTH,May
396,TEXAS,2023-05-03,SOUTH,May
397,KANSAS,2022-05-28,SOUTH,May
398,TEXAS,2021-05-21,SOUTH,May
399,TEXAS,2023-05-20,SOUTH,May
400,ARKANSAS,2023-05-21,SOUTH,May
401,KANSAS,2020-05-06,SOUTH,May
402,ARKANSAS,2022-05-14,SOUTH,May
403,TEXAS,2019-05-16,SOUTH,May
404,MISSISSIPPI,2020-05-31,SOUTH,May
405,MISSISSIPPI,2023-05-20,SOUTH,May
406,MISSISSIPPI,2023-05-01,SOUTH,May
407,ARKANSAS,2020-05-31,SOUTH,May
408,TEXAS,2020-05-06,SOUTH,May
409,OKLAHOMA,2023-05-02,SOUTH,May
410,LOUISIANA,2022-06-01,SOUTH,June
411,KANSAS,2021-06-15,SOUTH,June
412,OKLAHOMA,2022-06-10,SOUTH,June
413,OKLAHOMA,2020-06-12,SOUTH,June
414,MISSISSIPPI,2019-06-26,SOUTH,June
415,MISSISSIPPI,2020-06-15,SOUTH,June
416,TEXAS,2021-06-04,SOUTH,June
417,MISSISSIPPI,2020-06-29,SOUTH,June
418,TEXAS,2020-06-15,SOUTH,June
419,OKLAHOMA,2020-06-03,SOUTH,June
420,TEXAS,2022-06-27,SOUTH,June
421,ARKANSAS,2020-06-29,SOUTH,June
422,ARKANSAS,2022-06-28,SOUTH,June
423,TEXAS,2019-06-26,SOUTH,June
424,KANSAS,2022-06-29,SOUTH,June
425,MISSISSIPPI,2021-06-22,SOUTH,June
426,LOUISIANA,2021-06-15,SOUTH,June
427,TEXAS,2021-06-22,SOUTH,June
428,MISSISSIPPI,2021-06-30,SOUTH,June
429,TEXAS,2022-06-28,SOUTH,June
430,MISSISSIPPI,2020-06-11,SOUTH,June
431,MISSISSIPPI,2020-06-11,SOUTH,June
432,LOUISIANA,2021-06-22,SOUTH,June
433,OKLAHOMA,2020-06-25,SOUTH,June
434,OKLAHOMA,2023-06-04,SOUTH,June
435,ARKANSAS,2020-06-03,SOUTH,June
436,ARKANSAS,2021-06-05,SOUTH,June
437,KANSAS,2020-06-12,SOUTH,June
438,LOUISIANA,2023-07-23,SOUTH,July
439,LOUISIANA,2020-07-05,SOUTH,July
440,ARKANSAS,2020-07-28,SOUTH,July
441,MISSISSIPPI,2021-07-22,SOUTH,July
442,OKLAHOMA,2019-07-02,SOUTH,July
443,OKLAHOMA,2022-07-27,SOUTH,July
444,LOUISIANA,2021-07-16,SOUTH,July
445,TEXAS,2021-07-25,SOUTH,July
446,OKLAHOMA,2021-07-27,SOUTH,July
447,TEXAS,2019-07-07,SOUTH,July
448,LOUISIANA,2021-07-27,SOUTH,July
449,TEXAS,2019-08-03,SOUTH,August
450,LOUISIANA,2019-08-01,SOUTH,August
451,MISSISSIPPI,2021-08-03,SOUTH,August
452,LOUISIANA,2019-08-25,SOUTH,August
453,MISSISSIPPI,2019-08-28,SOUTH,August
454,OKLAHOMA,2020-08-24,SOUTH,August
455,TEXAS,2019-08-14,SOUTH,August
456,OKLAHOMA,2022-08-31,SOUTH,August
457,TEXAS,2019-08-30,SOUTH,August
458,ARKANSAS,2022-08-19,SOUTH,August
459,TEXAS,2019-08-19,SOUTH,August
460,LOUISIANA,2022-08-13,SOUTH,August
461,TEXAS,2022-09-15,SOUTH,September
462,KANSAS,2022-09-20,SOUTH,September
463,ARKANSAS,2022-09-23,SOUTH,September
464,KANSAS,2023-09-30,SOUTH,September
465,MISSISSIPPI,2023-09-14,SOUTH,September
466,ARKANSAS,2021-10-04,SOUTH,October
467,MISSISSIPPI,2023-10-27,SOUTH,October
468,OKLAHOMA,2023-10-15,SOUTH,October
469,KANSAS,2022-10-23,SOUTH,October
470,MISSISSIPPI,2019-10-13,SOUTH,October
471,KANSAS,2021-10-07,SOUTH,October
472,ARKANSAS,2019-10-05,SOUTH,October
473,MISSISSIPPI,2019-10-15,SOUTH,October
474,KANSAS,2022-10-05,SOUTH,October
475,OKLAHOMA,2020-10-03,SOUTH,October
476,OKLAHOMA,2023-10-10,SOUTH,October
477,TEXAS,2019-10-26,SOUTH,October
478,OKLAHOMA,2020-11-05,SOUTH,November
479,LOUISIANA,2019-11-10,SOUTH,November
480,TEXAS,2020-11-02,SOUTH,November
481,KANSAS,2023-11-17,SOUTH,November
482,ARKANSAS,2023-11-02,SOUTH,November
483,LOUISIANA,2020-11-02,SOUTH,November
484,KANSAS,2020-11-16,SOUTH,November
485,OKLAHOMA,2020-11-09,SOUTH,November
486,OKLAHOMA,2022-12-21,SOUTH,December
487,OKLAHOMA,2019-12-03,SOUTH,December
488,MISSISSIPPI,2023-12-14,SOUTH,December
489,OKLAHOMA,2019-12-04,SOUTH,December
490,KANSAS,2021-12-04,SOUTH,December
491,LOUISIANA,2023-12-26,SOUTH,December
492,KANSAS,2023-12-20,SOUTH,December
493,OKLAHOMA,2020-12-05,SOUTH,December
